sessionUID,trackId,sessionType,weather,trackTemperaure,airTemperature,frontWing,rearWing,onThrottle,offThrottle,frontCamber,rearCamber,frontToe,rearToe,frontSuspension,rearSuspension,frontAntiRollBar,rearAntiRollBar,frontSuspensionHeight,rearSuspensionHeight,rearLeftTyrePressure,rearRightTyrePressure,frontLeftTyrePressure,frontRightTyrePressure,ballast,brakePressure,brakeBias,fuelMix,fuelInTank,tyresWear,actualTyreCompound,tyresAgeLaps,lastLapTime,currentLapNum
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,15.468491554260254,15.25,19,11,84.8568115234375,11
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,13.503491401672363,16.25,19,12,85.44677734375,12
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,11.554068565368652,17.5,19,13,85.123046875,13
6826122820664252382,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,9.551995277404785,19.0,19,14,85.0460205078125,14
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,36.22109603881836,3.25,18,1,85.36128234863281,2
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,34.283321380615234,4.75,18,2,85.03201293945312,3
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,32.342750549316406,6.0,18,3,84.945068359375,4
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,30.400720596313477,8.0,18,4,84.975341796875,5
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,28.456270217895508,9.25,18,5,85.14785766601562,6
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,26.515029907226562,10.75,18,6,85.11138916015625,7
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,0,39.99972915649414,12.75,18,6,85.11138916015625,7
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,36.24949264526367,2.25,19,1,85.399169921875,8
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,34.306278228759766,3.5,19,2,85.33251953125,9
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,32.34486389160156,4.75,19,3,85.3858642578125,10
1502526055823246873,11,1,1,32,25,4,4,70,65,-2.5999999046325684,-1.100000023841858,0.06000000238418579,0.20000000298023224,4,4,5,5,4,5,20.700000762939453,20.700000762939453,21.799999237060547,21.799999237060547,6,100,58,1,30.39299964904785,6.0,19,3,85.5299072265625,11
